map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,29252494,0,29252494,100.0,100.0
quality,After quality filtering,26505574,0,26505574,90.61,90.61
grouped,Grouped counts,204797,0,26505574,100.0,90.61
thresholded,Filtered by # reads > 20,23657,0,26197884,98.84,89.56
