,gene,max_speed,mean_speed,median_speed,top3_mean_speed,speed_std,tile_count,coverage_fraction
105,RTG3,0.1519213193443605,0.09904453052802907,0.0985381191004572,0.1317909068494367,0.03065789828586482,10.0,1.3920454545454546
106,SDD4,0.1415565158386064,0.10735520043155751,0.1139094719730671,0.1297281816255147,0.02221921228299912,9.0,0.19052044609665428
108,SIP4,0.1239114749378509,0.07943836963567592,0.0737835487086471,0.11025814077022195,0.036271827435601915,7.0,1.2215909090909092
109,SIR1,0.0926379036968903,0.07529430642552147,0.07798085432784875,0.0828665374508626,0.01696639862323506,4.0,0.5681818181818182
111,SKO1,0.1087612737320123,0.0955270669919354,0.0955270669919354,0.0955270669919354,0.01871599465906618,2.0,0.2556818181818182
114,SPT10,0.1183393940943025,0.10037091619153293,0.0999789627284841,0.11468608681875954,0.017445952825974383,7.0,0.6818181818181818
118,STB4,0.1542923308524026,0.0969335184723801,0.08709451537967294,0.1322504736364541,0.028551311493640763,10.0,1.0397727272727273
120,STE12,0.1302757611550094,0.10669804396129073,0.10541855055871505,0.12860719771755977,0.021070438013804652,8.0,1.0227272727272727
121,STP2,0.1579947688178116,0.14162519070225046,0.14805976827362843,0.15137143512168952,0.02046145868618898,4.0,0.6818181818181818
124,SUM1,0.1044141131725429,0.09228808328516958,0.0986695633506777,0.10110225781569109,0.01500553868173609,5.0,0.09851301115241635
126,SWI4,0.1172149367298468,0.0804043022942652,0.0845654448187081,0.10312187459328397,0.025415332955557195,7.0,0.16263940520446096
127,SWI5,0.134783579295699,0.09476138764058362,0.09428460965661475,0.1196766431270791,0.018856615631529246,12.0,0.7386363636363636
128,TAF2,0.1237525369130664,0.09229231064207369,0.0904893952867552,0.12045115953208684,0.01998202826046591,21.0,0.29739776951672864
129,TBF1,0.1136834055845342,0.08413767705942647,0.0705925227929392,0.08413767705942647,0.025616787999161127,3.0,0.48295454545454547
130,TBS1,0.1472511185288137,0.10841644453807457,0.11808610465031764,0.139730500357768,0.03458847048034235,8.0,0.14869888475836432
131,TDA9,0.1309639217956304,0.09635920296049817,0.09656691828024086,0.12594793846556743,0.021504272732113576,18.0,0.32063197026022305
132,TEA1,0.154947989194469,0.10386109291005702,0.0923996779198508,0.13941537766207282,0.03177071098966926,9.0,1.2102272727272727
133,TEC1,0.149851278858409,0.12583944193133495,0.1220676280490974,0.14452389557386203,0.0189567350101545,7.0,0.625
134,TFA1,0.0901767700455986,0.07801204675714299,0.07801204675714299,0.07801204675714299,0.017203516657049747,2.0,0.2556818181818182
136,TOG1,0.130446513802705,0.10213549693854113,0.110063099036026,0.12325416841148555,0.020460145850680244,9.0,0.8409090909090909
138,TYE7,0.1801092758697951,0.11261314692040139,0.1103255409497538,0.14269985431392992,0.04937937968668006,5.0,0.6818181818181818
139,UGA3,0.0935076281252455,0.08542489982897054,0.088341191299758,0.08542489982897054,0.009869490576778061,3.0,0.48295454545454547
141,URC2,0.1518761056567999,0.10905579730599653,0.1195264111227746,0.14014378545577375,0.04538463061657466,6.0,0.5738636363636364
143,WAR1,0.1718273573547797,0.11505648961465754,0.1021598914541174,0.14906800353222607,0.03534440985334472,7.0,0.9829545454545454
144,XBP1,0.0905273002398511,0.06788119234865743,0.06560129102897991,0.0817657184569122,0.017182369526320473,6.0,0.7954545454545454
145,YAP1,0.1368257350779058,0.11160996896426448,0.1153279527730781,0.13326078462496585,0.018393957924615442,13.0,1.25
152,YRM1,0.1275548281200755,0.08492569269571691,0.08337102842866509,0.12058538978625293,0.030523423875431912,14.0,1.5056818181818181
153,YRR1,0.1205326232342347,0.08482062346754435,0.0892539546329761,0.11344075832311797,0.02768397541221925,10.0,0.9943181818181818
