map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,29564584,366951,29564584,100.0,100.0
quality,After quality filtering,27758006,357042,27758006,93.89,93.89
grouped,Grouped counts,408599,357042,27758006,100.0,93.89
thresholded,Filtered by # reads > 100,5402,5028,26952087,97.1,91.16
