map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,32304698,392035,32304698,100.0,100.0
quality,After quality filtering,30348294,381671,30348294,93.94,93.94
grouped,Grouped counts,438368,381671,30348294,100.0,93.94
thresholded,Filtered by # reads > 100,5399,5017,29489411,97.17,91.29
