map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,34520825,432342,34520825,100.0,100.0
quality,After quality filtering,32395694,421260,32395694,93.84,93.84
grouped,Grouped counts,481129,421260,32395694,100.0,93.84
thresholded,Filtered by # reads > 100,5478,5087,31451793,97.09,91.11
