map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,32269664,385419,32269664,100.0,100.0
quality,After quality filtering,30272417,375473,30272417,93.81,93.81
grouped,Grouped counts,431551,375473,30272417,100.0,93.81
thresholded,Filtered by # reads > 100,5416,5024,29418681,97.18,91.17
