tc_id	model	rate	t_fall	t_rise	v_final	v_inter	GeneName	exp_id	TF
1	sigmoid	0.25876083970069885	NA	44.7638053894043	NA	0.6530318856239319	AAD10	1	ACA1
2	sigmoid	0.12613630294799805	NA	45.53560256958008	NA	-2.1097099781036377	AAP1	1	ACA1
3	sigmoid	0.08382327854633331	NA	22.37791633605957	NA	-0.6150287985801697	AAT1	1	ACA1
4	sigmoid	0.06475879997015	NA	29.2902889251709	NA	-0.6206961870193481	ABF1	1	ACA1
5	sigmoid	1.1748210191726685	NA	3.6533145904541016	NA	5.377406120300293	ACA1	1	ACA1
6	sigmoid	0.12240401655435562	NA	46.09380340576172	NA	0.9706395268440247	ACC1	1	ACA1
7	sigmoid	0.17584411799907684	NA	35.6876106262207	NA	-1.1394230127334595	ACM1	1	ACA1
8	sigmoid	0.15873129665851593	NA	16.505189895629883	NA	-0.49353504180908203	ACO1	1	ACA1
9	sigmoid	0.30943477153778076	NA	31.071752548217773	NA	-0.48927754163742065	ADH3	1	ACA1
10	sigmoid	0.10722707211971283	NA	39.6589241027832	NA	-0.842422604560852	ADH5	1	ACA1
11	sigmoid	0.1755291223526001	NA	44.359867095947266	NA	-0.6647337675094604	ADK2	1	ACA1
12	sigmoid	0.1742994338274002	NA	41.216976165771484	NA	0.9760782122612	AFR1	1	ACA1
13	sigmoid	0.2194882333278656	NA	42.51320266723633	NA	0.7798649072647095	AGX1	1	ACA1
14	sigmoid	1.017258882522583	NA	7.090869426727295	NA	0.7243161201477051	AI1	1	ACA1
15	sigmoid	0.26780542731285095	NA	43.752742767333984	NA	0.6804918050765991	AIM19	1	ACA1
16	sigmoid	0.30651116371154785	NA	54.886199951171875	NA	-0.5831645727157593	AIM34	1	ACA1
17	sigmoid	0.15415413677692413	NA	40.49311065673828	NA	3.537595748901367	ALD3	1	ACA1
18	sigmoid	0.1315104067325592	NA	25.551332473754883	NA	0.8432245850563049	ALD4	1	ACA1
19	sigmoid	0.09138543158769608	NA	37.1233024597168	NA	-1.4605472087860107	ALD5	1	ACA1
20	sigmoid	0.2773762345314026	NA	46.60503387451172	NA	-1.324411392211914	ALG14	1	ACA1
21	sigmoid	0.2712744474411011	NA	49.54264831542969	NA	-0.5691220164299011	ALG7	1	ACA1
22	sigmoid	0.2948119342327118	NA	54.04812240600586	NA	-0.7952309846878052	ALK2	1	ACA1
23	sigmoid	0.29683247208595276	NA	53.808895111083984	NA	0.7888933420181274	ALP1	1	ACA1
24	sigmoid	0.14902430772781372	NA	29.118270874023438	NA	0.5735089182853699	ALT2	1	ACA1
25	sigmoid	0.32108598947525024	NA	56.73539352416992	NA	-1.1445977687835693	AMF1	1	ACA1
26	sigmoid	0.175508052110672	NA	44.923221588134766	NA	-0.6834681630134583	APT2	1	ACA1
27	sigmoid	0.30833104252815247	NA	27.479145050048828	NA	0.6848840713500977	AQR1	1	ACA1
28	sigmoid	0.13604731857776642	NA	38.479583740234375	NA	-2.441493034362793	AQY2	1	ACA1
29	sigmoid	0.267455518245697	NA	44.434268951416016	NA	0.687560498714447	AQY3	1	ACA1
30	sigmoid	0.2778331935405731	NA	53.61698532104492	NA	-0.6715273857116699	ARG1	1	ACA1
31	sigmoid	0.3091922104358673	NA	55.61655044555664	NA	0.7497109174728394	ARI1	1	ACA1
32	sigmoid	0.5518155694007874	NA	19.241409301757812	NA	0.7753198742866516	ARN1	1	ACA1
33	sigmoid	0.2570812702178955	NA	24.558048248291016	NA	-0.4695611894130707	ARO9	1	ACA1
34	sigmoid	0.047435835003852844	NA	48.028663635253906	NA	-0.6856974363327026	ASN1	1	ACA1
35	sigmoid	0.2895302176475525	NA	43.99510192871094	NA	0.5620748400688171	ATG36	1	ACA1
36	sigmoid	0.20727543532848358	NA	44.68278121948242	NA	1.0553772449493408	ATO2	1	ACA1
37	sigmoid	0.22032475471496582	NA	17.494035720825195	NA	0.6251929998397827	ATP16	1	ACA1
38	sigmoid	0.5191612243652344	NA	9.06013298034668	NA	0.6574667096138	ATP18	1	ACA1
39	sigmoid	0.1345662772655487	NA	12.67105484008789	NA	0.8009516596794128	ATP19	1	ACA1
40	sigmoid	0.24824191629886627	NA	15.025130271911621	NA	0.6837129592895508	ATP20	1	ACA1
41	sigmoid	1.2228232622146606	NA	6.986852169036865	NA	0.9832406044006348	ATP6	1	ACA1
42	sigmoid	0.3931749761104584	NA	20.313249588012695	NA	0.3539004325866699	ATP7	1	ACA1
43	sigmoid	0.13343410193920135	NA	25.519207000732422	NA	0.7033383846282959	ATR1	1	ACA1
44	sigmoid	0.0993579551577568	NA	52.62565994262695	NA	-1.3635982275009155	AXL2	1	ACA1
45	sigmoid	0.2685711681842804	NA	44.3200569152832	NA	1.7864969968795776	BAG7	1	ACA1
46	sigmoid	0.14058370888233185	NA	35.38824462890625	NA	-0.7055005431175232	BAT2	1	ACA1
47	sigmoid	0.1650160402059555	NA	37.147579193115234	NA	-0.725925862789154	BBP1	1	ACA1
48	sigmoid	0.29434505105018616	NA	24.54813575744629	NA	1.078879952430725	BDH2	1	ACA1
49	sigmoid	0.19951993227005005	NA	29.999631881713867	NA	3.040236473083496	BDS1	1	ACA1
50	sigmoid	0.2918849289417267	NA	53.18876266479492	NA	-0.5317967534065247	BIM1	1	ACA1
