map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,26939038,338549,26939038,100.0,100.0
quality,After quality filtering,25321539,329963,25321539,94.0,94.0
grouped,Grouped counts,375122,329963,25321539,100.0,94.0
thresholded,Filtered by # reads > 100,5373,4990,24548912,96.95,91.13
