map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,31258832,0,31258832,100.0,100.0
quality,After quality filtering,28160148,0,28160148,90.09,90.09
grouped,Grouped counts,93759,0,28160148,100.0,90.09
thresholded,Filtered by # reads > 100,4553,0,27909919,99.11,89.29
