map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,31562436,750366,31562436,100.0,100.0
quality,After quality filtering,30484292,719788,30484292,96.58,96.58
grouped,Grouped counts,883679,719788,30484292,100.0,96.58
thresholded,Filtered by # reads > 20,29402,20996,29312062,96.15,92.87
