map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,30746712,0,30746712,100.0,100.0
quality,After quality filtering,26770274,0,26770274,87.07,87.07
grouped,Grouped counts,96683,0,26770274,100.0,87.07
thresholded,Filtered by # reads > 100,4564,0,26525101,99.08,86.27
