map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,25144079,0,25144079,100.0,100.0
quality,After quality filtering,23195671,0,23195671,92.25,92.25
grouped,Grouped counts,82243,0,23195671,100.0,92.25
thresholded,Filtered by # reads > 100,4312,0,22971748,99.03,91.36
