map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,305486,44666,305486,100.0,100.0
quality,After quality filtering,284669,42403,284669,93.19,93.19
grouped,Grouped counts,46580,42403,284669,100.0,93.19
thresholded,Filtered by # reads > 10,3418,3270,232487,81.67,76.1
