,rep,time,mu,sigma,z-score_active,shifted_active
0,2,0,-1.0510508625187218,0.3072929901823714,0.05635737115461446,0.005643228126248501
1,2,2,-0.9887805744254164,0.2965266903167213,0.055645711329052897,0.007596603871210517
2,2,5,-1.0229255900829555,0.31786276011961423,0.07125829851587932,0.01273934329582447
3,2,10,-0.9171393366936781,0.32397595562326054,0.10037029818748781,0.038978756577665176
4,2,15,-0.8580571094928132,0.34074084657896136,0.12015603018288784,0.05269216012277785
5,2,20,-0.810379198602397,0.35575537724568895,0.13000436744795457,0.06492939292473432
6,2,30,-0.7387459760857943,0.3904657909579759,0.11772202143439113,0.07251342260847765
7,2,40,-0.7340896518775074,0.39104900993645203,0.12716475967805344,0.07680370776520246
8,2,50,-0.6706951192946693,0.4000853170804561,0.12376891054929434,0.07818052594171997
9,2,60,-0.6940806449930453,0.39583269674851723,0.12325051759834368,0.07714285714285714
10,3,0,-1.010228304592875,0.3067930496486634,0.05306635105432236,0.00707712374097244
11,3,2,-1.048802070249051,0.31149168546627093,0.05814193548387097,0.017522580645161292
12,3,5,-0.9585003340250781,0.31372610810288426,0.0729423702234624,0.017480340382353618
13,3,10,-0.8946443623332065,0.31384765878720666,0.1110351750208231,0.045725391367490334
14,3,15,-0.8061839025058538,0.34484190039849133,0.11392431268631997,0.057427956276912884
15,3,20,-0.7845629850647003,0.37944796883811494,0.11559747124054306,0.06885687636024458
16,3,30,-0.7550667820030421,0.38344589467201756,0.11821421543977786,0.0784232274426638
17,3,40,-0.7569389054749194,0.39184824410362296,0.12694273053028857,0.08669931938171872
18,3,50,-0.6765316725660281,0.41707570934799204,0.10631950094928126,0.07535832759591914
19,3,60,-0.7199053899036414,0.38503702921784244,0.13163580900732957,0.08691691734101598
20,4,0,-1.0591878839515652,0.290883252913636,0.07233838625873332,0.005221075995661715
21,4,2,-1.0089446746190445,0.3080122413292174,0.054368432138928544,0.008144732838720248
22,4,5,-1.0498274814623665,0.3168809530487565,0.06386604631032244,0.00949469811729063
23,4,10,-0.8634430246215006,0.3336515644862215,0.09683470105509964,0.037621229883832465
24,4,15,-0.8863992936423031,0.33092039408094087,0.11876276626787277,0.04980808511593455
25,4,20,-0.8248313685031948,0.35073124452789284,0.12370860927152318,0.06030905077262693
26,4,30,-0.7694945795920084,0.34900140077164604,0.15232247618647096,0.0780747313749816
27,4,40,-0.6918352305843493,0.38366062654036714,0.12876833790101563,0.07504433338707077
28,4,50,-0.682820327566558,0.3978612362147623,0.12121515941447764,0.0728494084620012
29,4,60,-0.7462921712043112,0.4027978263634299,0.11722215181852744,0.07153719427195539
