,rep,time,mu,sigma,z-score_active,shifted_active
0,2,0,-1.047859260606597,0.30386674693034027,0.057406112664802236,0.04816719936076708
1,2,2,-0.994434032431399,0.29892182132095463,0.055645711329052897,0.049836543662833084
2,2,5,-1.013246288772359,0.3176910047587987,0.07025863173813857,0.06725963140491631
3,2,10,-0.8992637906448165,0.33108454558835415,0.09400376794646917,0.09666731631260962
4,2,15,-0.8247616376657467,0.3512418742718503,0.10468090548663513,0.11452871211152321
5,2,20,-0.7553208401126027,0.37819321722175103,0.09783083418255932,0.13104423600856852
6,2,30,-0.6969347067376128,0.4007961654418494,0.10627363319196942,0.14799339837466313
7,2,40,-0.6735758184109658,0.4111345548925607,0.10663963087873207,0.15379363141668909
8,2,50,-0.598627539705844,0.41758836464979016,0.10254848207939893,0.1423088638440451
9,2,60,-0.6288499289709499,0.42433120619683273,0.09995859213250517,0.1398550724637681
10,3,0,-1.008837531042603,0.3020277694264899,0.05903239052196807,0.04937078814521388
11,3,2,-1.0435991751872493,0.30608130507868025,0.060748387096774194,0.0567741935483871
12,3,5,-0.9639218125735669,0.3080846192296196,0.07494868897447132,0.0719968636856306
13,3,10,-0.8577996349642789,0.33133459286081474,0.09514554812805673,0.09909659782585481
14,3,15,-0.7718068427050705,0.3484369093577435,0.10607817157999337,0.11794054322623385
15,3,20,-0.7529059410718032,0.3733462804029892,0.11350399005078246,0.13379624831588766
16,3,30,-0.7174981573561966,0.39354297933471616,0.10852882660311769,0.1509215330461969
17,3,40,-0.6801607024434156,0.4124360905786718,0.10470071878379238,0.15380700973220532
18,3,50,-0.6552615519785459,0.41734004190575646,0.10012309361373642,0.15536917652458743
19,3,60,-0.6358169020919937,0.4169319402954823,0.10138541710799474,0.13879591577341863
20,4,0,-1.0604513278840926,0.30031064899922144,0.055439251393548064,0.04608167074431861
21,4,2,-1.0062712977591073,0.3042655590232868,0.05441524094834648,0.04905563226999321
22,4,5,-1.076162077852308,0.31075319383439043,0.06935728197359879,0.06316273533867128
23,4,10,-0.8388941744456837,0.32907008806206267,0.09512948950229137,0.09487370776937014
24,4,15,-0.8656911945090735,0.35096221373153025,0.10316266750465758,0.11263495768894076
25,4,20,-0.7821375610801957,0.36827475432409024,0.10964679911699779,0.12348785871964679
26,4,30,-0.6963725665253713,0.3907753510204708,0.10890089786992452,0.1440587084971718
27,4,40,-0.6257461593809491,0.413260005500831,0.1024101241334838,0.1365468321779784
28,4,50,-0.6185596349417952,0.4227986181920099,0.09701223180268699,0.13623420894325244
29,4,60,-0.6895304037763573,0.4103445729916722,0.10292316140751066,0.14734085244793646
