map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,30467329,701843,30467329,100.0,100.0
quality,After quality filtering,29330836,671885,29330836,96.27,96.27
grouped,Grouped counts,830750,671885,29330836,100.0,96.27
thresholded,Filtered by # reads > 20,29263,20923,28242409,96.29,92.7
