map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,27877543,662237,27877543,100.0,100.0
quality,After quality filtering,26933026,634386,26933026,96.61,96.61
grouped,Grouped counts,777062,634386,26933026,100.0,96.61
thresholded,Filtered by # reads > 20,29268,21075,25905027,96.18,92.92
