map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,26521968,639559,26521968,100.0,100.0
quality,After quality filtering,25589163,612621,25589163,96.48,96.48
grouped,Grouped counts,757072,612621,25589163,100.0,96.48
thresholded,Filtered by # reads > 20,28898,20765,24614259,96.19,92.81
