map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,33084809,779920,33084809,100.0,100.0
quality,After quality filtering,31886428,744179,31886428,96.38,96.38
grouped,Grouped counts,916336,744179,31886428,100.0,96.38
thresholded,Filtered by # reads > 20,29874,21203,30661008,96.16,92.67
