map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,389472,0,389472,100.0,100.0
quality,After quality filtering,345080,0,345080,88.6,88.6
grouped,Grouped counts,15309,0,345080,100.0,88.6
thresholded,Filtered by # reads > 10,2831,0,323204,93.66,82.99
