map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,25023784,0,25023784,100.0,100.0
quality,After quality filtering,19886565,0,19886565,79.47,79.47
grouped,Grouped counts,194992,0,19886565,100.0,79.47
thresholded,Filtered by # reads > 20,23728,0,19617731,98.65,78.4
