map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,37690419,432930,37690419,100.0,100.0
quality,After quality filtering,35401640,422053,35401640,93.93,93.93
grouped,Grouped counts,480939,422053,35401640,100.0,93.93
thresholded,Filtered by # reads > 100,5558,5148,34353543,97.04,91.15
