map,description,unique_count,unique_AD_count,total_reads,% of previous step,% of total reads
initial,Initial combinations,277049,0,277049,100.0,100.0
quality,After quality filtering,221592,0,221592,79.98,79.98
grouped,Grouped counts,12786,0,221592,100.0,79.98
thresholded,Filtered by # reads > 10,2965,0,204811,92.43,73.93
